state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,-0.10382341319470878,25,,,,,,,2.9000953406343235e-06,31,65680.2,25,-101480.2,34
WI,0.0026201385948511134,9,,,,,,,0.0,51,Missing Data,99,Missing Data,99
WV,-0.00915793834337205,23,,,,,,,0.0,50,Missing Data,99,Missing Data,99
FL,-2.1337355530851387,41,,,,,,,2.893270804929121e-05,16,45763.392857142855,42,-119511.60714285714,41
WY,0.0,22,,,,,,,0.0,52,Missing Data,99,Missing Data,99
NH,0.0,18,,,,,,,0.0,44,Missing Data,99,Missing Data,99
NJ,0.0,19,,,,,,,0.0,45,Missing Data,99,Missing Data,99
NM,-3.869818295552995,46,,,,,,,5.228835926803972e-05,12,42560.036697247706,45,-116569.21100917431,40
NC,-1.472890173048695,38,,,,,,,1.4977153173499753e-05,25,46184.13698630137,41,-144526.60273972602,46
ND,-0.04275300874299029,24,,,,,,,0.0,46,Missing Data,99,Missing Data,99
NE,9.70365192534359,3,,,,,,,0.00026192584480516434,2,65758.5925925926,24,-28711.267489711943,24
NY,0.25710021961387536,6,,,,,,,6.120219471070233e-07,34,70153.0,23,349930.3333333333,20
RI,0.0,20,,,,,,,0.0,48,Missing Data,99,Missing Data,99
NV,0.0,17,,,,,,,0.0,43,Missing Data,99,Missing Data,99
CO,-2.1332089298533488,40,,,,,,,5.258384088938729e-05,11,75578.28571428571,21,-116146.05128205128,38
CA,-2.2481542336108924,42,,,,,,,6.17401041122062e-06,29,71489.92340425531,22,-435621.83829787234,51
GA,-6.870047383808852,50,,,,,,,5.696138723661659e-05,9,39141.727433628315,47,-159750.57699115045,47
CT,0.9434219480397356,5,,,,,,,1.0293899167640877e-05,26,81359.02702702703,20,10289.621621621627,23
OK,-0.9593773635670814,33,,,,,,,1.51949445895387e-05,23,32851.44827586207,51,-95989.37931034484,32
OH,-0.2901072392534574,29,,,,,,,3.549506657532603e-06,30,54268.09756097561,34,-135999.80487804877,44
KS,-3.2117495493709907,45,,,,,,,1.9750752434366863e-05,20,44284.63157894737,43,-206898.66666666666,49
SC,-0.984622733859016,34,,,,,,,7.622885681489155e-05,7,50074.333333333336,39,-62991.0,25
KY,-1.9767467060875357,39,,,,,,,3.1938204137594346e-05,15,38077.37142857143,48,-99970.22857142857,33
OR,0.006155923383377571,8,,,,,,,0.0,47,Missing Data,99,Missing Data,99
SD,-2.958643697333985,44,,,,,,,1.7974749072502947e-05,21,65236.8,26,-229836.8,50
DE,0.0,10,,,,,,,0.0,35,Missing Data,99,Missing Data,99
DC,0.0,11,,,,,,,0.0,36,Missing Data,99,Missing Data,99
HI,0.0,12,,,,,,,0.0,37,Missing Data,99,Missing Data,99
TX,7.005865084882892,4,,,,,,,5.3498023447309925e-05,10,59808.95415472779,31,71146.63323782235,22
LA,-6.81709992998525,48,,,,,,,8.14377520226966e-05,6,32448.192,52,-116157.52533333332,39
TN,-47.39405162708939,52,,,,,,,0.0003172647318578561,1,51838.60546875,38,-201221.90234375,48
PA,-6.8321618024308925,49,,,,,,,0.0001305398893331839,4,60215.62567486503,30,-112553.35812837433,35
VA,-1.1169936077990368,35,,,,,,,3.832342579205611e-05,13,41313.019108280256,46,-70459.51592356688,28
AK,12.02055586179917,2,,,,,,,8.207024939780955e-06,28,62604.0,29,1402062.6666666667,19
AL,-13.486500422212092,51,,,,,,,0.0001830831197363603,3,47536.95238095238,40,-121200.21768707484,42
AR,-0.2061506120096294,27,,,,,,,2.3734445461634964e-06,32,35324.57142857143,49,-122181.71428571429,43
VT,0.0,21,,,,,,,0.0,49,Missing Data,99,Missing Data,99
IL,-0.26868600890042793,28,,,,,,,1.017573494245622e-05,27,42923.35877862595,44,-69327.93893129771,26
IN,23.687781753393278,1,,,,,,,0.00012680432303317164,5,63785.572979493365,27,123020.21712907118,21
IA,-0.47790346675076034,32,,,,,,,2.7633873927765053e-05,17,55687.34117647059,33,-72981.45882352942,29
AZ,-0.19935218927445564,26,,,,,,,1.7388025690350377e-05,22,63295.36842105263,28,-74760.28070175438,30
ID,0.015041458018663943,7,,,,,,,0.0,38,Missing Data,99,Missing Data,99
ME,0.0,13,,,,,,,0.0,39,Missing Data,99,Missing Data,99
MD,0.0,14,,,,,,,0.0,40,Missing Data,99,Missing Data,99
MA,-0.40686141425808864,30,,,,,,,1.5174668700172435e-05,24,87448.0396039604,19,-114259.92079207921,37
UT,-1.2650628994036832,36,,,,,,,2.1014333877137595e-06,33,52456.0,37,-654456.0,52
MO,-0.41757388576565974,31,,,,,,,2.622284338274016e-05,18,53422.93670886076,36,-69346.98734177215,27
MN,-2.268885619952366,43,,,,,,,2.6019330504040896e-05,19,56927.4,32,-144127.4,45
MI,0.0,15,,,,,,,0.0,41,Missing Data,99,Missing Data,99
US,-1.376330342827505,37,,,,,,,3.6897657911772495e-05,14,53992.0876617774,35,-91293.3805004314,31
MT,0.0,16,,,,,,,0.0,42,Missing Data,99,Missing Data,99
MS,-5.812526350934334,47,,,,,,,7.266913741733885e-05,8,33910.78341013825,50,-113896.95852534562,36
