state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,179.47066937825582,6,,,,,,,0.0013312887661181862,8,86944.24659623134,4,47865.476091929,33
WI,112.79591845290248,26,,,,,,,0.000947616791804486,34,58386.795207373274,32,60644.35686635945,17
WV,56.37842325082031,51,,,,,,,0.0005591729412011875,47,40969.69942196532,51,59854.96339113679,19
FL,182.8798185423216,5,,,,,,,0.0014857462238811916,6,69892.61856243697,17,53196.920958375355,26
WY,143.147862775246,20,,,,,,,0.0007904412083349946,42,58545.60526315789,29,122553.07894736843,1
NH,152.44415146632437,16,,,,,,,0.001495500254674006,5,58485.10931174089,30,43450.113360323885,38
NJ,109.65401351960342,27,,,,,,,0.0009057007661108608,37,85743.93481776341,5,35326.972509018524,44
NM,146.94947025655836,18,,,,,,,0.001152742452487151,24,61227.935081148564,25,66250.21057012069,15
NC,96.06766554703898,36,,,,,,,0.000915247675438115,36,44789.43510423672,49,60174.137188971086,18
ND,77.87745562593967,46,,,,,,,0.0005187365060816155,50,54780.692307692305,37,95348.42857142858,4
NE,102.31438323200324,34,,,,,,,0.0007432011110829664,44,67205.43872371284,21,70461.71718636694,13
NY,174.2740165062319,9,,,,,,,0.0012224118356884278,17,90348.73247663552,3,52216.981809078774,28
RI,273.92350449395184,2,,,,,,,0.0021327390163940656,2,68854.84008908687,19,59582.58351893096,22
NV,185.929739097612,4,,,,,,,0.0009425659061172418,35,105712.12629957644,2,91547.01270696959,6
CO,162.22018606975084,11,,,,,,,0.0012606638777327465,14,73084.83300229182,14,55593.5474407945,24
CA,177.9176184188333,7,,,,,,,0.0008769984746253426,38,115481.18989844523,1,87389.87951229741,8
GA,103.19387357596531,32,,,,,,,0.0012467990724871459,15,46025.89569014312,47,36741.148217029186,43
CT,158.2653544634625,13,,,,,,,0.0012639238896916894,13,73985.1032357473,10,51232.36891921637,29
OK,125.64411710691398,25,,,,,,,0.001166604969951997,21,61384.82371434988,23,46315.82932854255,35
OH,148.5350837999564,17,,,,,,,0.0016448933291004744,4,57289.20252631579,34,33011.53684210526,48
KS,102.04035390576327,35,,,,,,,0.0011271789064736036,26,57266.906855210575,35,33260.2963418383,47
SC,91.61332404188268,40,,,,,,,0.001159525610884295,23,41185.90430971512,50,37823.41051862673,42
KY,94.66073437337813,38,,,,,,,0.0009987532693884861,32,50308.69255367748,41,44470.205573321145,36
OR,163.87196089757467,10,,,,,,,0.0010064934731822328,30,80098.2874617737,7,82716.44036697247,11
SD,74.23211871962268,49,,,,,,,0.0005248626729170861,49,47312.41095890411,45,94119.09589041097,5
DE,34.02295390568678,52,,,,,,,0.00020286165816501815,52,57844.06451612903,33,109870.98924731184,3
DC,333.0057949105568,1,,,,,,,0.002917926429831192,1,73339.50566648677,12,40784.617377226125,39
HI,139.9129502012542,22,,,,,,,0.0013792697409327913,7,75614.87975013015,8,25824.995314940126,50
TX,108.54868032715957,28,,,,,,,0.0010025514265079333,31,64497.83769733573,22,43774.593478842544,37
LA,141.40113587204848,21,,,,,,,0.001089745705733044,29,50013.27142287764,42,79742.81307293742,12
TN,106.0178569851764,29,,,,,,,0.001214374137223503,18,48726.74167623421,43,38575.72445464983,41
PA,57.51374462873774,50,,,,,,,0.00043327966867456907,51,74152.81257907103,9,58587.65226820891,23
VA,146.87489549543525,19,,,,,,,0.001272606244375061,12,60809.88779131102,26,54602.790831495164,25
AK,230.5052381336678,3,,,,,,,0.0011476156540793701,25,84403.1084624553,6,116452.67222884388,2
AL,89.64284925492228,42,,,,,,,0.0012803363747549551,11,47858.12840466926,44,22156.94811932555,51
AR,84.17997490930051,44,,,,,,,0.0009737903909402231,33,46066.779944289694,46,40378.90250696379,40
VT,78.55137365884198,45,,,,,,,0.0005605792972156298,46,51655.1452991453,40,88470.21082621084,7
IL,175.97402841733222,8,,,,,,,0.0011145148469798613,27,73174.95121271258,13,84717.991078896,9
IN,102.94583971688832,33,,,,,,,0.0011938573477369176,20,51990.7802690583,39,34238.818193465726,46
IA,77.04128988421407,47,,,,,,,0.000647933067506303,45,59166.141495233314,27,59737.01956848972,20
AZ,155.86000503947693,14,,,,,,,0.0013275910141123657,9,67418.83042279411,20,49981.78722426471,31
ID,105.97960628983635,30,,,,,,,0.0008755382021697303,39,61362.89763779528,24,59682.19899785254,21
ME,103.25517540373568,31,,,,,,,0.0012863241687440538,10,45799.49912229374,48,34472.004681100065,45
MD,153.55478367546593,15,,,,,,,0.0011612712474704332,22,70274.18006430868,16,61955.72230342006,16
MA,161.51195711308088,12,,,,,,,0.0019064492191731488,3,73361.91346835843,11,11356.816770431076,52
UT,89.67691582428374,41,,,,,,,0.0008626384056564983,40,55589.183922046286,36,48367.369874137235,32
MO,128.68578245562324,24,,,,,,,0.001225005107645602,16,58432.105134805584,31,46617.07519306326,34
MN,76.4643060319313,48,,,,,,,0.0005532824779323554,48,54695.79845482029,38,83505.4081289889,10
MI,95.91755568484521,37,,,,,,,0.0007942512838675941,41,69623.49713412304,18,51141.2502865877,30
US,134.99879940305894,23,,,,,,,0.0010957617490913545,28,70292.09680643362,15,52908.77191799926,27
MT,93.76091240923114,39,,,,,,,0.0007441579126967467,43,59159.67914438502,28,66836.3101604278,14
MS,87.11020559338034,43,,,,,,,0.0012085848706874468,19,39506.00166251039,52,32570.19894707676,49
